name,MEFs,ESCs,log2FC,threshold
Acin1,32.3304109669188,77.0338582812519,1.2272611278045538,TRUE
Thrap3,52.1755816390957,123.438527455301,1.226597414230521,TRUE
Srsf1,52.5638916878016,122.916805505084,1.2100391692979595,TRUE
Ywhae,231.495577071017,534.648786029691,1.2040840939234656,TRUE
Cct8,165.137238969923,380.13860162444,1.19794024772131,TRUE
Rpl23a,1171.22988968548,2683.84725602843,1.1955844850435369,TRUE
Bclaf1,39.8666310938977,92.4863633998219,1.193832620979632,TRUE
Ybx1,335.527120898872,758.332830113854,1.174009608042119,TRUE
Kif5a,0.496789555070992,2.37405136474275,1.1726105403248401,TRUE
Hist3h2ba,0.0728529167277865,1.41711532674593,1.1718340067110522,TRUE
Rpl6,696.76600792418,1560.30664273616,1.1619386897704884,TRUE
Atp5b,498.711882173612,1101.99864596792,1.1422625918221554,TRUE
Prmt1,135.281528007013,299.729856472575,1.1418780775151869,TRUE
Gapdh,862.474524165956,1897.61951837862,1.1367253012632201,TRUE
Srsf6,64.9360002655922,143.779694837676,1.1347210008661646,TRUE
Rbbp4,46.1755205866466,102.48584617144,1.1333231195370357,TRUE
Hist1h3g,0.209114853570498,1.62871185268695,1.1204047166217093,TRUE
Tkt,82.0168408664265,178.920609142464,1.1158845130555248,TRUE
Eef1a1,3205.41019493474,6820.98506923821,1.089232596666444,TRUE
Hnrnpc,108.847369477484,230.527106082235,1.0756807853264396,TRUE
Pgam1,252.054168863156,531.260747297054,1.0726869337878784,TRUE
Rpl27,447.886409862079,937.930414200973,1.0646678221566273,TRUE
Tuba1b,181.438328661192,376.671296828436,1.0497222838655365,TRUE
Dazap1,50.735174977061,105.934373812569,1.0475082645896328,TRUE
Rpl7a,853.984400760387,1750.28352602612,1.0344426661275565,TRUE
Rpl5,491.904008330289,1005.44186855499,1.0298852272460006,TRUE
Rpl14,466.352514427688,943.954861508942,1.0157342606368869,TRUE
Stk35,5.39194191467002,11.8403764981478,1.006361301683701,TRUE
H3f3a,328.602614473498,641.909293514688,0.9638875193179727,FALSE
Got2,64.8147252839821,127.014626599343,0.9598263464859734,FALSE
Rpl10a,754.554920887383,1460.22114834319,0.9515660061239267,FALSE
Hnrnpk,318.13156474584,614.78827046013,0.9482830770558913,FALSE
Rps6,568.228361647605,1088.53004068155,0.9366265245466708,FALSE
Rpl11,816.751923536409,1559.839463339,0.9325870067983882,FALSE
Uba52,763.953283555334,1449.84401851587,0.9234488735492427,FALSE
Rps16,780.343188308235,1480.64954391843,0.9231759801921835,FALSE
Tuba1c,43.2534559339719,82.8631101533531,0.922246209497706,FALSE
Eno1,0.223244235568505,1.31465580810587,0.9200851948638014,FALSE
Tufm,36.6027484831557,69.7153752752557,0.91118581069143,FALSE
Tubb5,360.000430962422,672.747100528111,0.900206599834491,FALSE
Hist1h1a,0.231789958174528,1.29053824007169,0.8949303764006141,FALSE
Rpl32,876.629381867868,1619.53642159227,0.8847877144443436,FALSE
Rps3,473.399951160628,862.362578657365,0.8638627010312289,FALSE
Krt13,0.129861278929624,1.04941548063398,0.859066839793458,FALSE
Matr3,57.7280444694786,105.087521263338,0.8531334618300033,FALSE
Rpl13,1270.70656660804,2290.79043633372,0.8497093068394692,FALSE
Rps8,1077.84577633594,1929.16349440907,0.8392344133337304,FALSE
Lrguk,0.0426709184525804,0.859286859403811,0.834465478181342,FALSE
Rpl36a,589.662833846018,1042.87285740237,0.821539262364282,FALSE
Hmgb1,156.952969177919,276.384996391265,0.8123946982348392,FALSE
Dhx15,57.6900799258046,101.919555047241,0.8103285470533369,FALSE
Rps25,557.456175439249,969.943234880653,0.7979428821442179,FALSE
Hnrnpa2b1,167.133191045855,288.319915423134,0.7830610810074528,FALSE
Acaca,10.7265362267269,19.1713480943443,0.7825305711862204,FALSE
Krt19,8.27930330669503,14.7181824904566,0.7603460104466766,FALSE
Pgam2,0.731209554206775,1.91709136417054,0.7527502063312177,FALSE
Eef1g,466.001962034248,783.566343943156,0.748466837306605,FALSE
Rps18,1107.29188299445,1853.16200326024,0.7424294179071901,FALSE
Aars,105.333858136883,175.826923261811,0.7337369092817965,FALSE
Eef1b2,332.428357361768,549.424689255018,0.7231683758210017,FALSE
Atp5o,155.799233883226,256.435564306195,0.7152928628079155,FALSE
Rps12,1395.22399174145,2272.07860332401,0.7031171665239722,FALSE
Rpl7,1222.93500851914,1986.54416108524,0.6994599635483996,FALSE
Rps2,1666.07895173188,2702.19536058679,0.6973433485583157,FALSE
Pklr,0,0.62132491855239,0.697173240399421,FALSE
Atxn10,60.649343840496,98.5527686573709,0.6913758997188099,FALSE
Rpl22,156.876733061214,252.237909176853,0.6816948183099257,FALSE
Rps13,594.394958423129,944.714242109532,0.6675573179051857,FALSE
Kif5c,2.30026338927548,4.16339014077047,0.6457374423786364,FALSE
Aco2,79.4270794763239,124.606922617578,0.6431627402029134,FALSE
Rpl27a,651.003123209693,1015.02395659554,0.6399836391375159,FALSE
Psmd2,112.05651968676,173.30329698007,0.6245556674697046,FALSE
Actc1,0.285238677963787,0.980331912353883,0.623705949586348,FALSE
Tubb2b,69.0092072860911,106.58628912919,0.6198776553535902,FALSE
Tcea1,83.9650123533522,129.170258370534,0.6154590726638188,FALSE
Rps11,587.88646362382,887.598162008116,0.5935416457055287,FALSE
Syncrip,37.2628993976836,56.5120143151731,0.5879171688826534,FALSE
Srsf5,167.610678640426,251.60591938493,0.5831925370443061,FALSE
Rps26,1013.08304747897,1514.94384950491,0.5800405116589512,FALSE
Dnaja2,75.595130052625,113.027255300223,0.5740541318937733,FALSE
Mccc2,7.75024542046592,12.007598611094,0.571959258203933,FALSE
Rps27a,766.573790575222,1137.62789374676,0.5689189924585817,FALSE
Rbm39,94.8307602178213,140.672269972507,0.5639966833560277,FALSE
Mccc1,6.44233796619202,9.96498132894291,0.5590755436958396,FALSE
Rpl19,1114.16705706367,1640.5245197029,0.5577764512576789,FALSE
Rpl12,1328.52305304478,1955.79807961226,0.5575861003437861,FALSE
Hist1h2ak,0.38311118211389,1.03502438811431,0.5571289511799926,FALSE
Rpl15,406.444307495662,593.555919350542,0.5452096305552483,FALSE
Rbbp7,112.159929824388,163.16057942983699,0.5367445411127166,FALSE
Rab15,5.15442024866092,7.92579361601305,0.536357488615036,FALSE
Puf60,59.8281863715268,87.0787510318834,0.534054021402082,FALSE
Pcx,3.9355885362987,6.10337309651312,0.5252821364272414,FALSE
Sdha,64.9419014299314,93.6426422683622,0.5212948643201349,FALSE
Tcea2,3.83634954065361,5.86888196766582,0.5061567767560341,FALSE
Rps10,873.114729975921,1237.24582737133,0.502403204420131,FALSE
Rps14,1018.58479097257,1438.80196507492,0.49788863434540953,FALSE
Fau,391.980276491087,551.807352516594,0.49231989809930243,FALSE
Pdha1,99.1808801625535,139.734905155376,0.49037299914325416,FALSE
Krt14,0.0589552719704778,0.48272664549517,0.48561099377039507,FALSE
Raly,140.563326328365,195.370664074066,0.4721318542804262,FALSE
Sf3b1,58.6295639164681,81.5618173222581,0.4694469411478664,FALSE
Hist1h2ah,0.168588719157611,0.599110628375936,0.4525024820650283,FALSE
Mapk1,42.8782303014859,58.7860459293671,0.446303458428066,FALSE
Eef2,984.212144871999,1339.31438316376,0.444065120474565,FALSE
Rps4x,960.937179310108,1304.82277752244,0.44094452687444724,FALSE
Rps9,875.544556955889,1186.04567996193,0.4374761201589638,FALSE
Ddx5,257.368106031891,347.924700679368,0.4334877416563564,FALSE
Eno3,13.3200242080758,18.3191344487319,0.4319965273601209,FALSE
Hmga1,1.19336511744337,1.94435857120864,0.4248073875131671,FALSE
Rab35,28.8827927572323,39.0196873064755,0.42139491037086413,FALSE
Pgk1,359.940422115984,480.987263825838,0.41723430346613843,FALSE
Pdik1l,2.16636970605408,3.22158239503124,0.41495415757207793,FALSE
Tubb3,29.863494410654,39.9092008210184,0.40652393859729763,FALSE
Suclg1,59.5598762682387,79.0356445240936,0.4022804013552825,FALSE
Nars,175.169752313625,229.234100312146,0.38613528879800224,FALSE
Sarnp,79.7235611239391,104.035213229516,0.37981134936596217,FALSE
Hmgb3,19.4340434568235,25.5529708505701,0.3778985738653565,FALSE
Pccb,11.3343719148713,14.8768243289736,0.36423812124307575,FALSE
Pcca,7.99472676447241,10.4980579287949,0.3542388423054323,FALSE
Fh1,51.9804172044431,66.2089119082497,0.3431933426603653,FALSE
Cct6b,0.150194293473559,0.440987014283193,0.3251797493321912,FALSE
Cdc37,94.0087063298109,116.356864357002,0.3047706003377934,FALSE
Rbm3,115.263820829355,142.466277500891,0.30330943734606325,FALSE
Hmgn2,168.024285118665,204.864679944923,0.28446578370789405,FALSE
Eef1a2,0.0110383207163313,0.208750153350621,0.2576783929401139,FALSE
